year,value
1969,10000.00
1970,9691.50
1971,10245.10
1972,12279.81
1973,8647.40
1974,5942.18
1975,8443.52
1976,8703.33
1977,7909.04
1978,8053.61
1979,8610.03
1980,11961.84
1981,13591.62
1982,16931.70
1983,23950.13
1984,28678.47
1985,33210.72
1986,39397.43
1987,37769.07
1988,49748.82
1989,58876.27
1990,41629.63
1991,51853.68
1992,51662.02
1993,69370.94
1994,67848.80
1995,77868.12
1996,90710.72
1997,117343.89
1998,137997.31
1999,201753.34
2000,189114.81
2001,166079.72
2002,111814.21
2003,123578.96
2004,131456.29
2005,166178.86
2006,178723.53
2007,174340.26
2008,109333.15
2009,137296.13
2010,165435.79
2011,161378.86
2012,183306.04
2013,222153.80
2014,264803.04
2015,292731.13
2016,325047.02
2017,349689.64
2018,334365.30
2019,435092.27
2020,461666.75
2021,609313.39
2022,529637.90
2023,632839.95
2024,798779.09
2025,855235.01
